user_code,age_group_id,gender_id,country_id,subscription_status_id,name,email,signup_date,district,city,postal_code,street_address,is_up_to_date
USER_00000000026,3,1,4,2,Angela Sparks,ihuff@example.net,2024-01-08,Arkansas,Sotostad,43683,67141 Joseph Club Suite 418,1
USER_00000000027,4,3,10,2,Matthew Watson,richard31@example.org,2021-09-09,Hawaii,Josephstad,78045,7853 Watkins Canyon,1
USER_00000000028,8,2,6,2,Andre Martin,reginaanderson@example.com,2024-07-17,Nebraska,Benjaminstad,08822,6503 Jeremy Locks Apt. 418,1
USER_00000000029,5,1,4,1,Christina Matthews,whitealexandra@example.org,2025-05-12,New Jersey,Wilsonville,09569,86427 Jennifer Manors,1
USER_00000000030,5,1,11,3,John Anderson,williammckay@example.com,2024-07-05,Utah,Lake Xavierstad,61396,559 Perry Road Suite 912,1
USER_00000000031,1,1,6,2,Susan Murray,victorzimmerman@example.net,2021-02-08,Alaska,Mccoymouth,02852,35275 Daniel Forks Apt. 083,1
USER_00000000032,5,1,7,2,Matthew Ibarra,barbara48@example.org,2024-08-10,Mississippi,Lake Rhondamouth,41245,1945 Taylor Rest,1
USER_00000000033,5,3,11,3,Stephanie Short,jmontoya@example.com,2022-08-04,Missouri,North Timothy,62847,676 Williams Estate Apt. 769,1
USER_00000000034,1,1,11,2,Daniel Potter,wendynielsen@example.com,2022-05-12,Minnesota,West Nicholas,23499,9818 Curry Plains,1
USER_00000000035,1,2,9,3,Joseph Li,karen12@example.net,2024-12-20,Indiana,East William,36417,214 Peterson Plaza Apt. 812,1
USER_00000000036,3,3,11,3,Sheri Mclean,qochoa@example.org,2021-12-01,California,West Lisa,22533,208 Powell Plaza,1
USER_00000000037,2,3,6,2,Robert Oneal III,npeters@example.net,2021-03-31,Hawaii,Lawrencestad,18716,75998 Padilla Cove Suite 129,1
USER_00000000038,4,1,3,2,Zachary Gordon,richard78@example.org,2022-12-30,Hawaii,Robertstad,17651,9192 Nathaniel Rapid,1
USER_00000000039,3,1,7,2,Andrew Miller,sullivancindy@example.org,2020-05-21,Alabama,Lake Davidhaven,55872,28104 Alexis Causeway Suite 549,1
USER_00000000040,5,1,10,1,Felicia Ramos,kevin26@example.net,2023-11-11,Maine,West Johnside,34343,67442 Joseph Islands,1
USER_00000000041,7,2,3,1,Wanda Wall,cpeterson@example.org,2024-12-12,Oklahoma,Andreashire,22196,211 Robinson Spring,1
USER_00000000042,7,3,7,1,Eric Mcintosh,sheri13@example.com,2025-05-04,Oklahoma,New Timothy,79007,316 Erickson Harbors Apt. 607,1
USER_00000000043,1,2,11,3,Jennifer Grant,julie24@example.com,2024-06-11,Ohio,Amychester,25384,71254 Luke Hills,1
USER_00000000044,2,3,8,2,David Love,dowen@example.org,2022-05-25,Virginia,Mariamouth,66072,963 Nicholas Isle,1
USER_00000000045,1,3,9,2,Regina Skinner,larsonlaura@example.net,2022-09-30,Colorado,North Suzanne,07048,7703 Daniels Vista Apt. 588,1
USER_00000000046,7,1,11,1,Michael Brown,joannamcmillan@example.com,2022-10-03,Rhode Island,East Melissa,22619,95862 Timothy Brook,1
USER_00000000047,9,1,6,3,Jeffrey Lane,jeffreyortiz@example.net,2023-09-30,South Carolina,Goodwinport,82598,3527 Jonathan Brooks Apt. 494,1
USER_00000000048,5,2,1,2,Stacy Lang,rosegabriel@example.net,2024-08-28,Washington,Allenmouth,78743,665 Andrew Mission Apt. 494,1
USER_00000000049,3,1,10,1,Richard Huang,jcarney@example.org,2023-06-08,Maryland,Riveramouth,39833,49747 Megan Pines Suite 463,1
USER_00000000050,4,1,10,2,Justin Lee,danadunlap@example.net,2022-02-01,Virginia,Lowefurt,90124,38586 Moore Brooks Apt. 278,1
USER_00000000051,5,2,8,1,Dennis Rangel,cedwards@example.org,2020-07-16,Georgia,Port Nicolemouth,24102,38909 Allison Parkway Suite 068,1
USER_00000000052,6,1,6,1,David Morales,phillipsrichard@example.org,2023-07-17,Missouri,Johnsonville,16311,661 Ross Harbor,1
USER_00000000053,9,1,5,2,Shannon Carter,rriddle@example.net,2020-11-21,Illinois,East Dorothy,54753,62911 Brian Squares Suite 931,1
USER_00000000054,7,1,11,3,Robin Schultz,thomasbowen@example.com,2024-02-10,Tennessee,Port Latoyahaven,58388,845 Rhonda Dam,1
USER_00000000055,2,3,8,3,Edward Brown,johnsonangelica@example.com,2022-05-24,New York,Oconnellfurt,58876,851 Davis Loop Apt. 320,1
USER_00000000056,8,1,2,2,Kerry Davenport,gbell@example.com,2021-11-04,Montana,New Terry,85157,263 Brittany Branch Suite 656,1
USER_00000000057,1,1,8,1,Stacey Rosales,jmathews@example.org,2024-06-01,Utah,Lake Kellyburgh,99428,32899 Lloyd Square,1
USER_00000000058,1,1,9,2,Eric Sanchez,natashamaynard@example.org,2021-07-10,New Jersey,Meganchester,03795,4858 Luke Plain Apt. 490,1
USER_00000000059,5,3,10,1,Anthony Cunningham,harrismelissa@example.org,2021-02-06,Nevada,Zunigaview,49521,614 Jacob Prairie Apt. 564,1
USER_00000000060,8,3,2,2,Vanessa Summers,joseph66@example.com,2022-09-07,New Jersey,Johnbury,48929,2560 Blake Spur Apt. 586,1
USER_00000000061,1,1,3,3,Jackie Rodriguez,jasonsmith@example.net,2025-01-18,Nebraska,Bishopberg,08351,50032 Tanner Knolls Apt. 860,1
USER_00000000062,1,2,11,1,Christopher Munoz,julia98@example.com,2023-04-22,Tennessee,South Austin,50819,68848 Palmer Stream Apt. 311,1
USER_00000000063,8,3,9,1,Alexis Nelson,portertimothy@example.org,2023-02-09,Ohio,Alvarezstad,35420,75860 Victoria Mountain,1
USER_00000000064,5,3,9,3,Patricia Hodges,tyler75@example.org,2022-11-04,Missouri,Erinville,47722,6203 Lynn Prairie Apt. 938,1
USER_00000000065,8,1,8,1,Brandon Miller,cbrooks@example.net,2023-08-25,Washington,South Eric,55532,50397 Rebecca Square,1
USER_00000000066,3,1,2,1,Ruben Hamilton,ashley07@example.org,2021-05-02,Wisconsin,Traceyberg,89140,1154 Berry Junctions Suite 656,1
USER_00000000067,3,1,11,3,April Jones,tellis@example.org,2022-04-04,Ohio,South Cristina,86808,456 Gina Circle Apt. 997,1
USER_00000000068,7,2,3,3,Christopher Heath,shannonmejia@example.com,2021-10-01,Iowa,Lake John,69567,19657 Mark Island Apt. 988,1
USER_00000000069,4,1,5,1,Russell Campbell,vmendez@example.com,2021-07-16,Florida,Lake Danaview,11223,1573 Johnston View,1
USER_00000000070,8,2,8,3,Sara Lindsey,bryanbrown@example.net,2023-03-23,South Carolina,East Courtneychester,09140,0406 Martinez Orchard,1
USER_00000000071,3,1,11,2,Eric Colon,nicholas45@example.net,2023-09-12,New Jersey,Melissashire,19890,70033 David Via,1
USER_00000000072,3,2,5,1,Christopher Thompson,lukemiller@example.net,2022-06-22,Nevada,South Lisa,46665,017 Nelson Ranch,1
USER_00000000073,1,2,6,3,Robert Clark,jasonlopez@example.org,2024-05-02,Michigan,East Christophertown,97329,605 Andrew Via Suite 441,1
USER_00000000074,4,2,11,3,Jeffrey Houston,fdaniels@example.net,2021-03-02,Missouri,New Matthewfurt,83909,22094 Duncan Prairie Suite 706,1
USER_00000000075,6,3,5,3,Joshua Dunn,annette84@example.org,2021-10-11,Tennessee,Bentleyville,25257,2312 Foster Station Apt. 508,1
USER_00000000076,4,3,7,1,Daniel Steele,marthaskinner@example.org,2020-08-21,Pennsylvania,Lake Nathanville,39513,187 Smith Corner,1
USER_00000000077,5,1,10,3,Mark Richardson,zmoore@example.org,2025-02-13,Nebraska,Mezaton,44974,23433 Meyer River Suite 402,1
USER_00000000078,7,3,6,2,Tyler Montoya,zjones@example.org,2024-12-23,Georgia,South Rhondabury,59723,7482 Dean Trail,1
USER_00000000079,1,3,4,1,Samuel Johnson,nthompson@example.org,2020-12-14,California,Abbottbury,16883,961 Michelle Ports Apt. 586,1
USER_00000000080,8,2,11,2,Michele Vasquez,leonerica@example.org,2020-11-18,New Hampshire,Port Alexastad,72614,118 Weaver Extensions,1
USER_00000000081,1,3,5,3,Lauren Gonzalez,justin21@example.net,2022-03-17,New Mexico,North Susan,22500,059 Williams Run,1
USER_00000000082,7,1,4,3,Amy Eaton,kathryn31@example.net,2023-12-08,New Mexico,New Christopher,59407,66743 Miller Meadows,1
USER_00000000083,6,2,10,3,John Grant,vincent41@example.com,2021-05-21,Wyoming,Kellyfort,02728,43519 Tony Ridge Suite 196,1
USER_00000000084,6,2,2,1,Michael Wolf,tracy43@example.com,2023-09-09,South Dakota,North Timothy,80767,7680 Michael Way,1
USER_00000000085,2,2,3,3,Ronald Nelson,marcusclark@example.net,2023-05-26,Utah,Williestad,22052,090 Howard Ways,1
USER_00000000086,6,1,7,3,Michael Alexander,austin16@example.com,2020-05-27,Alabama,Fischerfurt,11755,9886 Jackson Streets Apt. 205,1
USER_00000000087,3,2,9,2,Emily Hall,nathanielkim@example.org,2024-10-24,Georgia,Port Thomas,36304,09147 Patricia Crest Apt. 683,1
USER_00000000088,5,1,11,3,Timothy Rivera,brittanyrice@example.net,2021-01-03,Kentucky,West Timothy,76159,72917 Hutchinson Meadow Apt. 372,1
USER_00000000089,2,2,8,1,Ashley Hancock,michaelrobertson@example.com,2024-10-21,Tennessee,East Paulafort,60457,59417 Johnson Cape Apt. 037,1
USER_00000000090,3,3,2,2,Taylor Grant,johngarner@example.org,2025-03-06,Hawaii,East Davidport,74374,51691 Hood Road Suite 857,1
USER_00000000091,4,1,11,3,Jessica Dixon,frankkaren@example.org,2023-05-25,Rhode Island,South Melissaberg,84684,982 Wallace Bridge,1
USER_00000000092,3,2,5,3,Jerry Lopez,emilyortiz@example.org,2021-05-07,Vermont,Lake Gabrielle,31344,35343 Christopher Curve Suite 990,1
USER_00000000093,1,2,10,1,Kenneth Brown,janice39@example.org,2021-08-30,North Carolina,Harrisstad,18330,18682 Megan Centers Apt. 273,1
USER_00000000094,7,2,6,2,Allison Sanders,rodgersnoah@example.com,2022-05-20,Connecticut,North Anthony,94885,029 Mccarthy Lights Suite 590,1
USER_00000000095,6,2,2,2,Mary Brown,jennifer68@example.com,2020-10-24,Indiana,West Mariamouth,47622,876 Brenda Station,1
USER_00000000096,4,2,8,3,Chad Gonzales,kennethtodd@example.org,2022-03-16,Florida,Brownfort,60648,170 Paul Plaza Apt. 937,1
USER_00000000097,9,2,6,2,Monica Reyes,barnesrebecca@example.com,2024-07-29,North Dakota,Martinland,08516,86682 Brenda Summit Suite 995,1
USER_00000000098,1,2,10,2,Cassandra Andrews,rojasrobert@example.net,2025-03-10,Texas,East Patrick,71619,7186 Monroe Light Suite 282,1
USER_00000000099,9,1,3,2,Brandon Rosales,rwade@example.com,2024-03-28,Georgia,East Jasmine,23893,15236 Christopher Road Apt. 624,1
USER_00000000100,6,2,9,1,Linda Nguyen,wrightjavier@example.org,2023-06-24,Tennessee,New Matthew,94200,0690 Carlos Viaduct Suite 187,1
