USER_CODE,AGE_GROUP_ID,GENDER_ID,COUNTRY_ID,SUBSCRIPTION_STATUS_ID,NAME,EMAIL,SIGNUP_DATE,DISTRICT,CITY,POSTAL_CODE,STREET_ADDRESS
USER_00000000090,1,1,4,1,Mike Smith,harrisshawna@example.com,2023-12-24,Illinois,West Adam,73048,57825 Michael Tunnel Suite 630
USER_00000000091,6,3,2,2,Kimberly Walker,moniquenorris@example.org,2022-02-23,Indiana,Lake Robert,21062,5209 Ward Pike Apt. 644
USER_00000000092,9,3,10,1,Rebecca Smith,kimberlyhernandez@example.com,2023-06-28,West Virginia,New Jose,45624,0883 Dana Curve Apt. 718
USER_00000000093,5,2,6,1,Emily Mccarty,kimliu@example.org,2023-10-09,Ohio,Richardmouth,05266,361 John Roads Apt. 354
USER_00000000094,8,1,2,3,Krystal Mathews,erikamunoz@example.com,2022-06-30,Utah,New Amandachester,54864,954 Deborah Prairie Suite 030
USER_00000000095,3,1,10,3,Gloria Black,jon37@example.net,2022-12-12,Oregon,Neilland,63536,22741 Sophia Stream Apt. 241
USER_00000000096,5,1,3,3,Kerri Villanueva,robert28@example.org,2022-04-01,South Dakota,Murilloville,24392,6183 Tony Landing Suite 982
USER_00000000097,5,1,7,3,Raymond Duncan,angelarice@example.org,2022-01-17,Utah,Jeffreyburgh,95002,4252 Jasmine Spurs Suite 308
USER_00000000098,2,2,6,2,Tammy Walters,rjoyce@example.com,2024-08-08,Maryland,Lake Alexismouth,95245,987 Michelle Glen Suite 647
USER_00000000099,1,2,1,3,Erik Taylor,hannahsimon@example.net,2023-06-30,Arizona,Evansbury,40938,1342 Peck Spur Suite 243
USER_00000000100,3,3,10,3,Kathryn Thomas,matthewschneider@example.net,2021-12-12,Oregon,Bellfort,52260,28098 Weber Expressway Apt. 331
