USER_ID,AGE_GROUP_ID,GENDER_ID,COUNTRY_ID,SUBSCRIPTION_STATUS_ID,NAME,EMAIL,SIGNUP_DATE
81,8,2,7,3,Richard Richardson,sroberts@example.com,2022-07-21
82,4,2,9,2,Mariah Rice,dsalinas@example.com,2021-12-07
83,4,2,11,1,Willie Butler,michelledurham@example.org,2022-04-29
84,4,3,9,1,Jennifer Rosales,gutierrezjames@example.com,2024-05-15
85,4,3,7,3,Troy Lewis,zblankenship@example.com,2024-02-07
86,3,3,10,3,Brittney Johnson,chadgarcia@example.org,2021-09-03
87,3,3,6,1,Corey Norman,zacharymoreno@example.com,2021-11-22
88,7,1,1,2,Victoria Bentley,lloydmichael@example.com,2020-11-25
89,3,3,1,3,Rachel Mcclure,virginiareynolds@example.com,2024-07-14
90,9,3,2,2,Diana Wang,brucemartinez@example.net,2025-01-04
91,9,1,3,1,Steven Lewis,brownjennifer@example.com,2021-03-22
92,6,2,4,3,Joseph Fletcher,briannaparker@example.net,2021-12-15
93,4,1,1,1,Ruth Sullivan,xstanton@example.org,2020-05-13
94,4,2,1,3,Laura Mcbride,davidnolan@example.net,2024-03-06
95,3,1,1,1,John Hill,egonzalez@example.com,2023-06-20
96,9,3,3,1,Thomas Bailey,uedwards@example.com,2022-01-27
97,7,3,8,3,Susan Dunn,candice02@example.org,2021-09-28
98,7,2,6,2,Andrew Crosby,sarahrogers@example.com,2020-06-01
99,7,1,5,1,Michelle Martin,robertabrewer@example.com,2024-03-31
100,6,3,9,2,Jacob Tucker,michelledavis@example.com,2021-11-19
